,predict_time,auc,train_time,origin
StackedEnsemble_AllModels_AutoML_20191222_105612,0.6680344999999761,0.6867176659386802,1.393,AutoML_2min
StackedEnsemble_BestOfFamily_AutoML_20191222_105612,0.4454396999999801,0.6796582083489187,0.743,AutoML_2min
GBM_5_AutoML_20191222_105612,0.09520670000000564,0.7030205404796666,1.092,AutoML_2min
GBM_1_AutoML_20191222_105612,0.0840082999999936,0.70658164106648,0.804,AutoML_2min
GBM_grid__1_AutoML_20191222_105612_model_2,0.13593459999998458,0.6981064308151437,2.936,AutoML_2min
GBM_2_AutoML_20191222_105612,0.08517430000000559,0.70715397516802,0.813,AutoML_2min
GBM_3_AutoML_20191222_105612,0.0867779000000155,0.7003828967425623,0.895,AutoML_2min
GBM_4_AutoML_20191222_105612,0.08902729999999792,0.7138293294078373,1.165,AutoML_2min
DRF_1_AutoML_20191222_105612,0.10392170000000078,0.6348705511380319,1.815,AutoML_2min
XRT_1_AutoML_20191222_105612,0.1094500000000096,0.6328382221042428,2.541,AutoML_2min
GBM_grid__1_AutoML_20191222_105612_model_3,0.05044540000000097,0.664972589902305,0.166,AutoML_2min
DeepLearning_1_AutoML_20191222_105612,0.054654900000002726,0.6511955468143554,0.893,AutoML_2min
GLM_1_AutoML_20191222_105612,0.04575410000001057,0.6133836890814098,0.235,AutoML_2min
