type,event,date,cal_close,temp_close,force_close,city_work,schedule,check_in,open
SCHEDULE,end,2021-05-29T21:59:00.000Z,0,1,0,0,1,1,False
SCHEDULE,end,2021-05-29T21:59:00.000Z,0,1,0,0,0,1,False
TEMPORARY_CLOSING,end,2021-05-29T21:59:00.000Z,0,0,0,0,0,1,False
CHECK_IN,end,2021-05-29T21:59:00.000Z,0,0,0,0,0,0,False
CITY_WORKING,start,2021-05-30T04:00:00.000Z,0,0,0,1,0,0,False
SCHEDULE,start,2021-05-30T10:30:00.000Z,0,0,0,1,1,0,False
SCHEDULE,start,2021-05-30T10:30:00.000Z,0,0,0,1,2,0,False
CHECK_IN,start,2021-05-30T10:31:49.804Z,0,0,0,1,2,1,True
TEMPORARY_CLOSING,start,2021-05-30T13:46:31.436Z,0,1,0,1,2,1,False
TEMPORARY_CLOSING,end,2021-05-30T13:56:25.051Z,0,0,0,1,2,1,True
CHECK_IN,start,2021-05-30T13:56:25.059Z,0,0,0,1,2,2,True
TEMPORARY_CLOSING,start,2021-05-30T14:09:37.518Z,0,1,0,1,2,2,False
TEMPORARY_CLOSING,end,2021-05-30T14:27:49.420Z,0,0,0,1,2,2,True
CHECK_IN,start,2021-05-30T14:27:49.423Z,0,0,0,1,2,3,True
TEMPORARY_CLOSING,start,2021-05-30T14:38:49.154Z,0,1,0,1,2,3,False
TEMPORARY_CLOSING,end,2021-05-30T15:29:05.126Z,0,0,0,1,2,3,True
CHECK_IN,start,2021-05-30T15:29:05.130Z,0,0,0,1,2,4,True
TEMPORARY_CLOSING,start,2021-05-30T15:38:59.891Z,0,1,0,1,2,4,False
TEMPORARY_CLOSING,end,2021-05-30T16:03:29.155Z,0,0,0,1,2,4,True
CHECK_IN,start,2021-05-30T16:03:29.160Z,0,0,0,1,2,5,True
TEMPORARY_CLOSING,start,2021-05-30T16:40:13.226Z,0,1,0,1,2,5,False
TEMPORARY_CLOSING,end,2021-05-30T16:40:22.374Z,0,0,0,1,2,5,True
CHECK_IN,start,2021-05-30T16:40:22.379Z,0,0,0,1,2,6,True
TEMPORARY_CLOSING,start,2021-05-30T16:48:04.369Z,0,1,0,1,2,6,False
TEMPORARY_CLOSING,end,2021-05-30T16:48:52.720Z,0,0,0,1,2,6,True
CHECK_IN,start,2021-05-30T16:48:52.725Z,0,0,0,1,2,7,True
TEMPORARY_CLOSING,start,2021-05-30T17:03:07.524Z,0,1,0,1,2,7,False
TEMPORARY_CLOSING,end,2021-05-30T17:04:41.431Z,0,0,0,1,2,7,True
CHECK_IN,start,2021-05-30T17:04:41.434Z,0,0,0,1,2,8,True
TEMPORARY_CLOSING,start,2021-05-30T17:14:07.990Z,0,1,0,1,2,8,False
TEMPORARY_CLOSING,end,2021-05-30T17:18:50.706Z,0,0,0,1,2,8,True
CHECK_IN,start,2021-05-30T17:18:50.712Z,0,0,0,1,2,9,True
CITY_WORKING,end,2021-05-30T21:00:00.000Z,0,0,0,0,2,9,False
CHECK_IN,start,2021-05-30T21:01:01.218Z,0,0,0,0,2,10,False
CHECK_IN,end,2021-05-30T21:09:00.000Z,0,0,0,0,2,9,False
CHECK_IN,end,2021-05-30T21:09:00.000Z,0,0,0,0,2,8,False
CHECK_IN,end,2021-05-30T21:09:00.000Z,0,0,0,0,2,7,False
