type,event,date,cal_close,temp_close,force_close,city_work,schedule,check_in,open
SCHEDULE,start,2020-09-15T15:30:00.000Z,0,0,0,0,1,0,False
SCHEDULE,end,2020-09-15T23:00:00.000Z,0,0,0,0,0,0,False
SCHEDULE,start,2020-09-16T12:30:00.000Z,0,0,0,0,1,0,False
SCHEDULE,end,2020-09-16T19:00:00.000Z,0,0,0,0,0,0,False
CITY_WORKING,start,2020-09-17T08:00:00.000Z,0,0,0,1,0,0,False
SCHEDULE,start,2020-09-17T12:30:00.000Z,0,0,0,1,1,0,True
SCHEDULE,end,2020-09-17T19:00:00.000Z,0,0,0,1,0,0,False
CITY_WORKING,end,2020-09-17T20:00:00.000Z,0,0,0,0,0,0,False
CITY_WORKING,start,2020-09-18T08:00:00.000Z,0,0,0,1,0,0,False
SCHEDULE,start,2020-09-18T12:30:00.000Z,0,0,0,1,1,0,True
SCHEDULE,end,2020-09-18T19:00:00.000Z,0,0,0,1,0,0,False
CITY_WORKING,end,2020-09-18T20:00:00.000Z,0,0,0,0,0,0,False
CITY_WORKING,start,2020-09-19T08:00:00.000Z,0,0,0,1,0,0,False
SCHEDULE,start,2020-09-19T12:30:00.000Z,0,0,0,1,1,0,True
SCHEDULE,end,2020-09-19T19:00:00.000Z,0,0,0,1,0,0,False
CITY_WORKING,end,2020-09-19T20:00:00.000Z,0,0,0,0,0,0,False
CITY_WORKING,start,2020-09-20T08:00:00.000Z,0,0,0,1,0,0,False
CITY_WORKING,end,2020-09-20T08:01:37.072Z,0,0,0,0,0,0,False
CITY_WORKING,start,2020-09-20T08:01:37.072Z,0,0,0,1,0,0,False
CITY_WORKING,end,2020-09-20T08:01:41.434Z,0,0,0,0,0,0,False
CITY_WORKING,start,2020-09-20T08:01:41.434Z,0,0,0,1,0,0,False
TEMPORARY_CLOSING,start,2020-09-20T17:01:32.755Z,0,1,0,1,0,0,False
CHECK_IN,start,2020-09-20T17:10:56.216Z,0,1,0,1,0,1,False
CITY_WORKING,end,2020-09-20T20:00:00.000Z,0,1,0,0,0,1,False
CHECK_IN,end,2020-09-20T21:30:00.000Z,0,1,0,0,0,0,False
TEMPORARY_CLOSING,end,2020-09-20T22:00:00.000Z,0,0,0,0,0,0,False
SCHEDULE,start,2020-09-21T15:30:00.000Z,0,0,0,0,1,0,False
SCHEDULE,end,2020-09-21T23:00:00.000Z,0,0,0,0,0,0,False
